Nitrogen,Phosphorus,Potassium,temperature,humidity,ph,rainfall,label
106.55,54.92,52.86,27.37,84.97,5.83,249.69,Rice
103.56,51.08,47.24,27.93,87.55,5.98,256.7,Rice
108.45,48.66,50.75,27.51,85.16,5.87,250.41,Rice
107.49,54.84,53.2,29.29,83.72,6.15,253.06,Rice
115.95,47.31,47.2,27.0,81.46,5.91,237.35,Rice
105.75,51.14,56.25,28.29,84.04,5.85,258.2,Rice
98.4,56.1,53.93,27.11,82.14,6.23,248.09,Rice
111.19,44.69,48.0,27.5,85.08,5.92,260.38,Rice
99.66,49.53,50.4,27.93,86.19,5.81,224.43,Rice
111.39,51.11,47.51,28.79,85.19,6.2,251.13,Rice
115.3,55.85,49.17,28.31,86.08,6.23,233.92,Rice
108.43,53.53,44.14,26.51,81.6,5.96,261.96,Rice
112.51,50.25,55.43,26.35,82.16,5.99,256.4,Rice
104.84,43.11,49.7,26.41,86.12,6.06,234.34,Rice
102.43,46.47,49.79,28.3,83.36,6.08,241.16,Rice
101.04,49.64,46.55,27.04,83.0,6.33,250.59,Rice
101.5,50.71,49.63,27.32,86.02,6.13,241.16,Rice
102.12,49.08,42.33,26.24,87.28,6.27,245.85,Rice
107.88,51.04,60.0,28.43,84.79,5.84,223.23,Rice
106.02,47.48,45.26,26.96,83.2,6.28,264.69,Rice
104.96,54.93,50.26,26.78,87.54,6.09,232.71,Rice
104.05,47.08,45.39,28.27,88.18,5.77,259.38,Rice
101.75,48.38,48.03,26.78,85.08,5.86,254.51,Rice
104.75,49.2,46.97,27.02,86.26,6.08,233.71,Rice
105.5,52.5,44.44,27.95,83.9,6.1,237.28,Rice
95.98,44.57,50.16,27.72,83.49,6.11,222.31,Rice
104.67,45.96,47.83,27.54,83.57,5.94,266.77,Rice
102.12,52.79,46.23,27.94,87.4,5.59,236.72,Rice
107.89,49.32,51.24,27.0,85.14,5.97,269.46,Rice
106.27,51.13,48.63,27.09,84.28,6.07,242.98,Rice
106.45,56.92,52.9,27.23,87.0,5.93,216.03,Rice
99.96,43.76,48.83,27.52,87.79,6.05,246.35,Rice
109.15,42.63,50.79,28.14,82.54,6.19,255.64,Rice
102.92,52.11,57.57,27.65,85.41,5.92,235.84,Rice
109.15,47.15,50.24,27.1,85.8,6.06,267.29,Rice
102.45,49.1,46.74,27.13,85.63,6.13,234.63,Rice
109.35,54.52,51.38,29.06,83.71,5.79,220.35,Rice
112.48,52.18,49.81,27.73,83.12,6.41,252.15,Rice
105.55,52.42,51.6,27.69,83.68,6.08,281.37,Rice
111.73,55.31,48.3,26.68,84.79,6.01,268.24,Rice
96.54,55.1,49.47,27.14,83.31,5.72,263.72,Rice
105.37,45.7,45.68,27.22,87.78,5.96,224.95,Rice
103.77,49.09,41.01,27.45,84.62,6.12,280.82,Rice
110.63,49.1,46.31,29.64,85.1,6.0,249.6,Rice
105.99,49.52,48.09,27.04,84.95,5.91,238.12,Rice
105.53,49.15,55.01,25.29,86.82,6.21,215.44,Rice
103.29,48.76,45.31,26.85,83.15,6.29,265.59,Rice
111.36,52.41,46.24,27.06,85.82,5.8,261.88,Rice
103.8,48.75,52.37,27.87,84.4,6.19,231.98,Rice
108.08,51.98,48.97,27.77,82.91,6.15,246.92,Rice
102.39,53.5,47.65,26.33,82.41,6.1,228.66,Rice
113.77,43.06,55.65,27.68,84.84,5.91,256.65,Rice
104.81,53.68,50.38,27.63,84.39,5.99,255.13,Rice
96.45,45.51,52.48,27.64,84.69,6.0,255.79,Rice
102.3,47.41,50.65,26.68,85.68,5.72,267.15,Rice
107.36,50.85,53.28,28.89,86.69,5.69,228.67,Rice
101.88,50.09,51.73,26.9,85.31,5.87,239.81,Rice
97.97,46.92,45.49,26.69,86.76,5.84,293.87,Rice
107.47,50.62,47.14,28.08,84.04,6.02,292.67,Rice
104.52,53.83,47.66,27.47,87.95,5.9,280.21,Rice
108.54,48.13,52.11,28.31,86.04,5.74,237.88,Rice
103.76,49.75,52.07,27.65,82.77,6.06,260.18,Rice
107.8,53.6,52.78,27.88,84.88,5.72,257.16,Rice
106.04,50.91,45.74,26.6,86.76,5.99,261.36,Rice
105.14,50.1,53.13,27.07,85.16,5.92,242.76,Rice
103.45,50.74,48.4,28.55,83.51,5.97,242.67,Rice
112.23,50.66,53.44,26.26,85.45,6.15,251.37,Rice
110.33,48.28,54.7,29.42,84.4,5.93,274.22,Rice
112.9,48.26,48.6,27.27,82.76,5.85,233.26,Rice
101.16,49.88,50.78,28.79,83.34,6.16,246.43,Rice
104.75,52.25,46.26,27.82,85.28,6.08,254.82,Rice
117.28,47.87,48.23,26.98,84.07,5.89,269.82,Rice
112.1,48.1,47.23,27.89,84.08,6.11,253.38,Rice
97.42,55.16,55.99,26.99,84.35,6.05,255.57,Rice
108.29,56.7,49.41,26.83,82.7,5.88,249.45,Rice
113.97,48.27,50.75,27.49,86.98,6.42,241.15,Rice
102.55,53.48,52.27,29.04,85.97,5.94,259.84,Rice
110.54,52.73,51.69,28.39,86.95,6.23,260.81,Rice
104.16,50.49,54.02,26.82,85.61,5.93,250.48,Rice
111.39,50.64,50.15,26.37,86.24,6.11,286.05,Rice
103.46,50.73,50.83,28.81,84.84,6.05,260.13,Rice
105.93,48.51,50.65,28.39,83.29,6.02,238.33,Rice
110.98,44.92,48.14,27.81,87.61,5.99,240.75,Rice
114.41,45.17,42.67,27.87,84.16,5.83,261.81,Rice
106.22,48.12,45.73,28.23,86.08,5.98,280.78,Rice
99.65,44.91,47.69,27.46,85.41,5.96,255.87,Rice
98.74,54.81,49.73,28.43,85.57,6.08,259.5,Rice
107.24,52.14,54.43,27.66,86.18,5.99,274.0,Rice
101.62,56.0,49.87,26.31,85.21,5.89,264.01,Rice
101.74,48.51,43.7,27.12,80.96,5.74,262.67,Rice
108.93,51.42,46.78,27.46,84.99,5.81,275.06,Rice
109.39,49.26,50.09,27.67,81.6,5.96,238.63,Rice
99.99,49.06,55.99,28.03,84.05,6.1,273.32,Rice
109.62,50.2,47.84,28.08,85.66,6.15,260.59,Rice
110.25,48.22,54.39,27.66,88.46,5.89,278.93,Rice
105.99,47.83,48.39,27.23,85.71,6.09,240.44,Rice
104.88,57.14,55.76,27.86,85.06,6.02,260.23,Rice
99.89,49.14,44.44,27.83,86.08,5.92,276.23,Rice
98.87,45.12,50.75,28.37,87.81,5.92,267.98,Rice
104.81,49.42,52.95,28.04,82.37,6.25,273.0,Rice
101.87,51.32,51.65,27.72,84.08,5.89,249.57,Rice
110.86,51.81,48.76,28.14,80.25,6.19,221.0,Rice
103.19,46.27,45.68,28.47,84.22,6.06,249.22,Rice
107.39,50.26,45.72,28.33,84.18,5.74,242.86,Rice
112.5,52.83,48.84,27.21,84.46,6.35,256.37,Rice
107.15,53.43,50.8,27.28,84.67,5.99,249.38,Rice
108.64,50.17,52.44,27.43,85.13,5.67,265.27,Rice
106.73,53.33,40.35,29.24,84.77,6.18,232.67,Rice
108.06,46.49,47.92,29.1,84.68,6.04,264.5,Rice
107.48,50.5,51.22,29.5,84.9,6.03,267.51,Rice
110.53,53.96,52.13,26.55,87.72,5.81,255.04,Rice
101.23,49.79,51.1,27.77,85.7,6.27,257.56,Rice
103.78,53.21,53.96,26.48,86.0,6.12,245.04,Rice
111.88,49.5,50.42,27.36,85.03,5.82,226.0,Rice
112.97,47.18,46.7,25.71,83.94,5.78,277.37,Rice
110.05,47.71,57.51,28.32,84.46,5.58,288.18,Rice
98.05,44.52,53.41,29.53,87.31,6.09,259.91,Rice
109.27,52.53,50.94,27.59,84.9,5.87,245.32,Rice
96.54,49.67,46.7,26.58,85.3,6.23,265.31,Rice
97.15,46.7,53.14,26.68,84.63,6.09,233.86,Rice
105.53,45.55,48.0,27.77,82.35,6.07,249.67,Rice
107.76,50.75,54.55,27.6,84.28,6.02,259.05,Rice
105.24,50.14,47.66,26.95,82.66,6.29,229.27,Rice
101.54,47.61,52.98,27.25,87.08,5.89,254.65,Rice
100.82,57.15,46.04,27.76,86.06,6.07,246.91,Rice
104.35,50.15,49.51,28.3,88.68,5.91,227.17,Rice
104.56,58.6,47.32,28.87,87.8,5.91,259.48,Rice
113.14,48.74,49.32,27.02,83.31,5.89,229.6,Rice
105.17,47.43,50.78,26.2,85.55,6.14,216.77,Rice
106.87,54.09,45.97,28.89,85.7,5.88,249.07,Rice
107.79,50.25,51.8,26.73,85.28,5.76,248.15,Rice
100.48,47.55,54.12,28.41,86.02,5.82,244.73,Rice
111.07,50.47,57.73,27.83,85.32,5.95,252.23,Rice
104.24,52.36,53.19,26.85,82.78,5.69,258.47,Rice
99.48,42.82,51.3,29.58,84.99,6.14,251.36,Rice
104.51,53.06,49.03,27.72,85.54,5.89,266.53,Rice
104.13,47.48,51.79,26.75,85.05,6.0,268.1,Rice
107.37,49.92,52.73,28.66,85.93,6.0,228.14,Rice
99.67,48.98,47.97,27.34,85.09,6.09,248.83,Rice
107.43,50.21,43.42,26.72,84.76,5.8,260.0,Rice
112.65,54.06,49.29,28.74,85.25,5.94,239.78,Rice
103.49,48.71,50.57,27.63,85.01,6.07,269.84,Rice
109.75,45.05,41.49,28.28,82.72,5.96,230.5,Rice
95.99,51.8,52.53,27.02,80.68,5.91,256.53,Rice
97.61,50.61,49.95,27.98,85.2,5.84,269.94,Rice
104.21,49.91,46.89,27.13,83.53,5.97,278.53,Rice
98.14,44.62,54.9,27.33,83.88,6.17,239.91,Rice
114.13,52.26,48.37,29.3,83.99,6.12,254.99,Rice
111.51,55.21,50.11,26.87,85.77,5.89,283.56,Rice
105.68,48.78,50.62,26.38,83.38,6.2,239.05,Rice
99.77,51.79,53.95,28.1,86.66,5.87,226.3,Rice
112.51,48.92,49.16,28.61,85.93,6.08,286.08,Rice
101.78,53.09,50.19,27.72,87.55,6.08,258.97,Rice
110.36,48.78,47.2,26.63,81.72,6.34,231.61,Rice
103.89,49.08,51.02,28.18,86.43,5.9,247.21,Rice
106.41,49.17,55.36,27.91,86.22,6.11,269.56,Rice
105.91,45.68,51.33,26.96,84.12,6.1,270.64,Rice
105.11,51.03,55.67,27.7,89.34,6.09,220.65,Rice
108.77,51.27,54.3,28.06,84.77,5.8,246.52,Rice
100.75,48.06,51.96,28.89,85.66,5.8,257.41,Rice
110.98,47.97,49.55,27.51,83.69,6.11,247.98,Rice
107.1,47.04,48.54,28.1,84.38,6.29,243.34,Rice
106.12,53.11,45.27,26.03,82.46,6.21,240.8,Rice
117.79,48.12,50.62,28.79,88.34,6.34,270.14,Rice
110.12,51.98,52.59,27.04,83.64,6.0,247.16,Rice
102.73,52.32,53.18,27.57,87.46,5.81,246.77,Rice
101.42,43.78,49.72,27.4,87.52,6.11,232.93,Rice
114.27,54.07,51.94,27.31,83.4,5.94,268.15,Rice
114.42,55.14,48.37,26.57,85.23,5.71,255.39,Rice
104.26,48.45,44.68,27.93,84.11,5.81,202.13,Rice
104.86,55.91,55.54,27.12,84.0,6.08,233.36,Rice
106.51,52.55,54.09,27.42,84.66,5.85,236.22,Rice
103.87,51.22,53.05,26.83,87.49,5.95,249.64,Rice
101.26,41.92,52.95,28.11,84.53,6.01,258.6,Rice
97.19,48.24,52.65,26.45,85.49,5.77,257.77,Rice
104.82,44.62,53.88,26.89,83.65,6.03,269.14,Rice
99.92,50.21,51.43,28.08,85.29,5.94,236.21,Rice
105.43,46.43,40.26,27.86,86.51,5.61,233.17,Rice
108.1,56.86,50.07,26.89,84.7,6.23,239.23,Rice
101.0,48.39,46.82,27.6,87.71,6.05,245.79,Rice
103.54,44.79,52.94,27.44,84.7,6.5,254.98,Rice
101.24,48.58,53.83,27.59,82.6,6.15,238.86,Rice
114.37,53.6,48.51,28.57,85.11,6.14,258.08,Rice
100.77,47.85,53.43,27.22,84.33,5.84,257.06,Rice
115.31,46.44,50.08,28.68,84.87,6.08,232.29,Rice
107.14,49.38,53.29,28.49,89.32,6.1,255.43,Rice
105.97,48.82,51.13,27.25,85.28,6.22,233.22,Rice
110.7,54.39,49.61,25.73,83.99,6.22,249.62,Rice
100.0,48.32,52.8,27.96,84.6,5.94,243.47,Rice
100.39,55.38,48.93,28.51,87.54,6.17,242.81,Rice
107.02,49.92,46.99,27.77,83.03,6.2,242.26,Rice
106.01,50.94,49.14,27.99,84.21,6.15,227.57,Rice
105.63,56.46,46.67,26.94,85.86,6.03,255.84,Rice
107.45,52.12,53.7,27.84,84.6,6.11,281.66,Rice
104.34,46.75,53.69,27.4,81.38,6.14,241.08,Rice
104.55,51.11,50.63,28.09,84.27,6.09,245.67,Rice
108.69,52.05,46.88,28.4,84.11,6.13,256.12,Rice
114.19,49.26,48.84,27.48,84.49,6.13,223.06,Rice
99.73,46.44,53.17,28.93,84.83,5.97,251.17,Rice
110.81,46.91,50.79,28.31,85.84,6.03,266.68,Rice
91.48,52.26,47.82,25.97,85.85,6.23,247.71,Rice
109.76,55.37,54.38,28.87,86.24,6.01,223.3,Rice
103.77,47.19,57.24,27.35,85.21,6.09,250.73,Rice
113.48,47.92,50.65,26.88,82.8,5.9,249.38,Rice
102.85,47.69,45.31,27.43,82.49,6.13,251.37,Rice
97.71,48.97,47.49,27.77,87.23,5.69,251.92,Rice
104.2,52.24,50.71,26.87,84.47,5.87,267.93,Rice
105.11,56.34,49.8,26.91,82.48,5.7,223.6,Rice
106.34,51.7,44.73,28.25,84.19,6.02,276.87,Rice
109.48,49.1,47.03,25.71,83.8,5.96,233.55,Rice
104.34,50.26,49.25,26.96,85.28,6.07,231.83,Rice
112.05,49.67,50.06,28.09,85.39,6.16,254.79,Rice
101.94,51.21,46.19,27.59,84.94,5.97,247.86,Rice
95.59,48.17,50.31,27.63,83.29,6.21,235.56,Rice
109.85,51.42,47.85,28.98,83.01,6.15,266.68,Rice
101.65,54.64,49.17,27.74,85.43,5.98,263.51,Rice
108.97,44.17,54.35,26.11,86.72,6.19,231.82,Rice
102.95,46.31,49.28,27.24,86.3,6.22,273.26,Rice
102.19,49.3,44.39,26.83,86.61,6.27,229.43,Rice
102.04,49.91,50.93,26.83,85.71,5.92,249.76,Rice
107.73,50.02,48.55,27.41,84.85,5.94,245.69,Rice
112.99,51.87,49.02,28.08,84.44,6.2,256.16,Rice
104.46,51.49,44.76,26.56,83.01,6.02,278.88,Rice
116.16,52.13,51.67,26.0,84.1,5.87,239.65,Rice
104.16,48.43,43.4,28.12,83.21,6.04,284.57,Rice
100.4,41.57,49.05,28.42,88.26,5.8,258.28,Rice
102.67,49.65,58.81,26.25,85.42,6.08,268.1,Rice
105.49,51.03,48.69,27.72,84.43,6.1,243.84,Rice
106.89,49.9,53.75,27.46,82.04,6.21,234.9,Rice
101.73,48.01,54.58,25.72,90.0,6.18,253.72,Rice
104.73,50.95,51.74,28.04,85.93,6.01,246.71,Rice
104.24,49.35,53.78,27.99,80.1,6.11,253.25,Rice
104.91,48.7,53.75,28.29,83.71,6.07,233.81,Rice
98.1,47.91,52.87,28.29,85.86,6.12,258.6,Rice
101.79,51.44,52.67,28.13,86.98,6.12,255.86,Rice
110.35,49.91,47.06,27.36,83.76,5.89,247.59,Rice
101.04,48.97,43.69,27.68,85.0,5.86,260.99,Rice
109.69,44.64,47.46,26.86,83.43,6.14,246.77,Rice
103.68,43.32,52.12,26.47,85.1,6.05,272.68,Rice
98.46,40.0,50.61,29.0,87.06,6.03,241.81,Rice
109.04,46.75,51.59,27.92,86.77,6.46,256.54,Rice
102.46,49.91,44.1,26.92,84.32,5.91,252.54,Rice
100.89,53.74,50.0,27.49,84.45,6.03,263.75,Rice
100.66,47.81,48.99,26.38,83.63,5.92,264.57,Rice
106.31,50.65,52.84,27.39,85.65,5.98,254.42,Rice
102.09,41.87,49.55,28.69,86.54,6.16,270.6,Rice
105.44,50.66,47.94,27.24,86.03,6.2,247.68,Rice
102.75,50.0,52.0,26.3,81.17,5.91,229.65,Rice
102.46,49.51,48.49,28.71,85.54,6.05,260.37,Rice
99.31,53.46,49.75,28.06,83.21,5.74,263.63,Rice
106.88,46.99,47.1,28.44,83.02,6.27,234.99,Rice
108.19,48.9,52.01,27.05,84.73,6.01,233.3,Rice
108.7,48.29,49.24,26.67,80.73,5.97,290.21,Rice
108.92,49.94,49.12,27.52,85.91,5.8,268.57,Rice
108.58,52.39,51.46,27.52,86.12,6.1,244.1,Rice
102.13,50.34,55.16,26.47,82.55,6.03,250.85,Rice
105.87,50.81,49.26,28.74,82.33,5.86,248.28,Rice
96.78,49.41,55.54,27.52,85.38,5.79,239.73,Rice
103.12,48.94,54.27,27.96,83.15,6.04,258.3,Rice
110.7,55.27,46.62,26.82,82.9,5.96,257.77,Rice
109.94,49.75,48.93,27.63,83.61,6.35,223.21,Rice
105.92,56.75,50.02,27.34,84.4,5.97,272.88,Rice
93.94,55.11,45.25,27.28,84.28,6.1,223.36,Rice
107.31,56.75,45.46,27.66,83.9,6.07,250.32,Rice
101.79,51.63,56.01,27.34,86.2,5.78,234.06,Rice
107.36,54.95,51.19,27.24,85.0,5.79,260.08,Rice
109.41,48.49,48.43,27.72,84.27,5.99,285.0,Rice
103.76,48.81,47.84,28.12,84.7,5.89,272.02,Rice
112.1,48.0,43.78,28.34,83.86,6.13,217.16,Rice
109.46,45.96,52.44,27.51,83.41,5.93,261.44,Rice
105.53,51.95,56.59,26.2,87.7,6.02,235.02,Rice
98.35,49.37,53.07,27.39,87.52,5.76,249.8,Rice
98.74,51.21,52.96,27.15,80.66,6.03,257.28,Rice
107.02,54.12,46.43,28.07,86.99,5.7,255.33,Rice
102.48,49.73,51.16,27.09,83.87,6.01,231.88,Rice
99.57,52.26,46.17,28.06,85.77,5.71,238.71,Rice
110.97,46.73,48.45,27.89,86.31,5.96,240.04,Rice
112.11,55.8,53.26,27.57,83.65,5.86,258.71,Rice
107.09,54.67,52.17,26.25,86.75,5.83,243.6,Rice
106.25,56.65,60.0,28.01,84.69,6.09,264.79,Rice
103.4,55.98,50.77,27.91,86.11,6.07,263.98,Rice
101.91,48.14,46.33,27.87,86.3,6.08,277.91,Rice
104.97,52.23,46.36,27.18,86.16,6.14,245.1,Rice
104.64,44.94,48.81,28.24,85.96,6.08,250.83,Rice
105.04,47.8,52.33,27.85,85.82,5.91,214.11,Rice
110.49,48.4,47.12,28.08,84.35,6.18,260.28,Rice
108.42,45.45,54.04,27.72,84.38,6.02,220.4,Rice
107.04,46.57,45.49,26.23,86.85,5.9,275.56,Rice
102.32,44.31,46.28,28.53,84.74,5.91,252.67,Rice
107.51,53.72,54.83,27.2,82.79,5.93,254.34,Rice
100.18,46.81,51.15,27.46,85.05,5.87,246.16,Rice
100.38,52.97,53.45,25.96,83.45,5.75,239.17,Rice
104.58,45.17,46.93,26.66,85.35,6.01,237.97,Rice
105.88,48.18,49.09,28.89,87.23,5.78,263.83,Rice
109.06,46.17,52.73,28.78,83.13,5.85,266.96,Rice
106.36,51.84,51.14,27.83,82.79,6.17,269.49,Rice
103.85,49.86,44.9,27.93,85.95,5.99,268.74,Rice
103.33,51.88,46.6,27.48,84.71,6.04,243.84,Rice
104.34,52.75,48.54,26.16,87.92,6.23,228.46,Rice
108.45,48.32,50.88,27.75,84.61,5.87,238.49,Rice
100.42,47.23,49.78,26.9,86.14,6.25,240.33,Rice
106.2,51.67,51.57,27.56,86.24,6.08,229.37,Rice
109.35,52.96,47.46,27.53,86.14,5.97,267.88,Rice
116.82,47.38,45.4,27.75,86.2,5.96,274.22,Rice
98.31,52.31,47.98,28.93,88.32,5.87,240.84,Rice
109.3,48.71,49.85,27.52,81.8,6.0,238.5,Rice
102.53,54.81,45.81,28.18,84.54,5.95,263.17,Rice
106.7,51.9,53.23,27.22,83.98,5.82,236.24,Rice
119.75,54.15,45.5,26.4,85.8,6.09,259.15,Rice
103.73,49.58,51.09,27.57,81.3,5.96,235.81,Rice
105.88,59.95,51.22,27.24,86.54,6.08,257.0,Rice
108.03,56.86,46.23,27.89,83.46,6.09,234.69,Rice
102.91,49.02,53.25,28.27,82.92,6.01,238.17,Rice
98.71,49.28,48.97,29.52,85.72,5.77,240.59,Rice
110.11,56.96,44.71,25.93,88.12,6.06,235.53,Rice
107.67,41.21,50.01,27.77,86.54,5.83,251.43,Rice
100.37,50.85,47.02,27.16,83.34,6.11,264.31,Rice
103.83,50.13,45.17,27.25,84.92,6.44,231.47,Rice
112.32,53.32,50.94,28.97,85.62,6.06,249.11,Rice
111.12,53.65,47.91,26.4,84.66,5.87,248.94,Rice
111.19,48.48,49.86,27.55,86.41,5.63,239.89,Rice
106.06,54.0,48.36,25.94,86.03,5.89,230.17,Rice
101.88,49.38,47.98,25.66,86.5,6.21,260.86,Rice
99.31,49.33,49.98,28.0,86.11,5.88,251.37,Rice
107.29,54.85,52.35,28.16,85.14,6.24,256.83,Rice
100.69,54.68,52.33,27.13,84.2,6.05,257.72,Rice
105.99,51.04,55.67,28.39,85.32,6.16,232.79,Rice
106.99,56.03,49.27,26.79,83.91,5.82,236.92,Rice
103.15,45.31,50.05,28.25,83.49,6.25,258.51,Rice
110.15,47.81,52.85,26.59,86.48,6.03,259.22,Rice
99.12,47.02,51.99,26.71,85.77,5.77,264.14,Rice
98.84,51.84,52.09,26.92,85.97,6.04,241.02,Rice
99.96,43.46,51.17,26.2,85.16,5.96,261.32,Rice
103.49,48.9,52.44,27.78,85.53,6.08,224.41,Rice
108.78,52.04,46.61,27.3,84.93,5.98,255.56,Rice
112.16,53.61,45.63,28.02,87.21,6.06,268.18,Rice
115.06,53.41,50.83,28.37,85.24,6.0,244.14,Rice
112.82,47.27,55.11,27.92,82.67,6.06,215.0,Rice
108.13,52.95,48.03,27.6,88.26,5.92,232.35,Rice
112.41,56.54,50.01,28.34,87.24,5.88,241.91,Rice
111.15,55.62,51.88,26.77,88.31,5.91,244.41,Rice
106.71,55.18,52.85,27.85,85.77,6.01,259.3,Rice
92.35,49.01,50.8,26.54,85.64,5.97,279.26,Rice
112.87,48.45,49.5,27.44,84.25,6.03,237.36,Rice
99.35,52.08,52.1,26.83,86.49,5.89,254.22,Rice
109.1,49.89,51.52,27.07,84.67,5.97,237.56,Rice
104.12,44.84,48.36,27.26,84.57,5.96,248.97,Rice
107.4,52.92,47.83,26.5,83.26,5.92,244.13,Rice
101.15,45.68,48.48,27.65,85.99,5.91,243.12,Rice
100.37,49.9,47.17,27.98,82.02,5.94,255.02,Rice
105.92,58.98,51.17,26.66,84.84,5.7,248.66,Rice
100.83,53.05,48.17,27.4,83.94,6.29,244.65,Rice
114.16,52.71,51.61,27.81,85.66,5.68,245.35,Rice
109.23,49.84,45.32,27.46,87.84,6.21,248.97,Rice
109.76,48.78,44.32,26.73,87.6,5.95,245.94,Rice
103.5,56.35,55.42,29.35,84.73,6.05,224.72,Rice
112.38,46.11,50.72,26.59,84.02,5.86,239.87,Rice
102.3,48.17,52.78,26.58,85.37,6.2,241.45,Rice
101.41,49.23,53.93,27.66,84.11,6.08,231.63,Rice
108.41,51.36,48.97,26.8,83.52,6.09,270.48,Rice
101.81,51.53,43.04,27.01,84.95,5.85,234.39,Rice
101.66,50.97,49.38,25.63,81.47,5.9,257.63,Rice
91.26,48.33,48.25,28.66,84.36,6.06,252.35,Rice
94.35,52.56,50.72,27.92,90.0,5.65,278.74,Rice
103.56,50.96,49.85,27.15,84.05,6.05,224.71,Rice
108.75,48.61,46.23,27.12,87.1,5.91,255.97,Rice
101.35,52.53,52.29,29.04,84.71,6.11,251.63,Rice
111.48,47.6,52.48,27.34,84.89,6.02,254.2,Rice
104.42,50.72,55.26,28.32,86.45,5.92,235.18,Rice
109.78,52.92,54.91,27.0,84.62,5.73,243.46,Rice
109.98,48.45,52.13,27.34,85.54,5.81,251.42,Rice
90.04,49.38,44.57,28.5,86.3,6.08,275.35,Rice
100.26,55.82,53.11,27.3,86.89,5.82,236.26,Rice
101.96,48.24,46.48,28.52,84.57,6.06,240.49,Rice
95.9,50.9,43.63,27.44,82.72,6.33,265.19,Rice
105.53,54.21,47.18,27.95,85.33,6.04,271.21,Rice
108.66,50.96,44.48,26.7,84.8,6.02,231.16,Rice
117.06,55.05,52.01,27.56,84.65,5.84,251.29,Rice
106.29,45.86,51.11,27.37,81.82,5.86,243.11,Rice
114.44,51.86,45.55,27.91,82.42,6.18,242.15,Rice
104.53,54.42,45.71,26.34,84.03,6.17,224.68,Rice
90.84,48.5,51.84,28.5,84.23,5.93,269.23,Rice
95.65,48.7,50.63,27.87,84.15,6.01,208.53,Rice
101.71,51.51,46.73,27.55,85.74,5.94,252.84,Rice
100.19,49.31,52.03,27.63,84.02,6.04,261.91,Rice
